State,LGA,Name,Population,Longitude,Latitude
New South Wales,10050,Albury,58317,146.9705259,-36.0265388
New South Wales,10180,Armidale,29646,151.8991113,-30.36738262
New South Wales,10250,Ballina,47935,153.4861571,-28.85287486
New South Wales,10300,Balranald,2219,143.611624,-33.95033967
New South Wales,10470,Bathurst,44939,149.5256394,-33.43012601
New South Wales,10500,Bayside NSW,185880,151.1671204,-33.94951567
New South Wales,10550,Bega Valley,36593,149.7175934,-36.82590196
New South Wales,10600,Bellingen,13278,152.7285963,-30.40378978
New South Wales,10650,Berrigan,8666,145.7111803,-35.73431263
New South Wales,10750,Blacktown,438843,150.8640934,-33.74093136
New South Wales,10800,Bland,5454,146.9612733,-33.89433076
New South Wales,10850,Blayney,7767,149.1420646,-33.59431751
New South Wales,10900,Blue Mountains,78891,150.4111468,-33.69753161
New South Wales,10950,Bogan,2407,146.8668791,-31.53811599
New South Wales,11150,Bourke,2349,145.3568129,-29.91058062
New South Wales,11200,Brewarrina,1408,146.9608837,-29.79158958
New South Wales,11250,Broken Hill,17541,141.4792749,-31.9440223
New South Wales,11300,Burwood,43346,151.1031574,-33.88367353
New South Wales,11350,Byron,37826,153.4825111,-28.6041541
New South Wales,11400,Cabonne,13897,148.7541069,-33.15298481
New South Wales,11450,Camden,141133,150.7241994,-34.00883083
New South Wales,11500,Campbelltown NSW,188303,150.8458632,-34.08341201
New South Wales,11520,Canada Bay,92255,151.1148308,-33.85348528
New South Wales,11570,Canterbury-Bankstown,385242,151.0373257,-33.92349502
New South Wales,11600,Carrathool,2767,145.4964314,-33.60897966
New South Wales,11650,Central Coast NSW,354803,151.2854883,-33.30797388
New South Wales,11700,Central Darling,1767,143.5896984,-31.85068476
New South Wales,11720,Cessnock,69352,151.2249055,-32.92505545
New South Wales,11730,Clarence Valley,56037,152.7511578,-29.68172552
New South Wales,11750,Cobar,4015,145.4828568,-31.86796818
New South Wales,11800,Coffs Harbour,81248,153.0398402,-30.1890261
New South Wales,12000,Coolamon,4613,147.1048388,-34.63251852
New South Wales,12150,Coonamble,3871,148.2916132,-30.87053565
New South Wales,12160,Cootamundra-Gundagai,11424,148.0941253,-34.85296219
New South Wales,12350,Cowra,12680,148.7179561,-33.7963704
New South Wales,12380,Cumberland,252399,150.9864653,-33.84213683
New South Wales,12390,Dubbo,56997,148.8544168,-32.42470375
New South Wales,12700,Dungog,9905,151.6082929,-32.34954786
New South Wales,12730,Edward River,8411,144.9414781,-35.17253127
New South Wales,12750,Eurobodalla,41142,149.9470547,-35.94514372
New South Wales,12850,Fairfield,212210,150.8954222,-33.8656217
New South Wales,12870,Federation,13075,146.2713721,-35.49704284
New South Wales,12900,Forbes,9295,147.8672079,-33.42161871
